0,,,1,,,2,,, 
0.04401,-0.004797, ,-0.049925,-0.006418, ,490.9637217,-311.8973979, , 
0.037418,-0.004565, ,-0.062016,-0.00543, ,490.3166522,-310.4433723, , 
0.031082,-0.004248, ,-0.074541,-0.004323, ,489.5629997,-309.0416082, , 
0.02516,-0.003836, ,-0.086188,-0.003127, ,488.7193613,-307.6920812, , 
0.019848,-0.003328, ,-0.095204,-0.001873, ,487.8057228,-306.3889291, , 
0.015384,-0.002735, ,-0.099927,-0.000593, ,486.8350428,-305.1276923, , 
0.012007,-0.002074, ,-0.099461,0.000676, ,485.8088432,-303.9111995, , 
0.009892,-0.001374, ,-0.094028,0.001899, ,484.7187998,-302.7515693, , 
0.009092,-0.000666, ,-0.084787,0.003034, ,483.5521251,-301.6690728, , 
0.00952,0.000018, ,-0.073298,0.004041, ,482.2978434,-300.6894324, , 
0.010994,0.000645, ,-0.061021,0.00488, ,480.951783,-299.8402996, , 
0.013316,0.00119, ,-0.04905,0.005513, ,479.5193589,-299.1467223, , 
0.016339,0.001637, ,-0.038065,0.005907, ,478.0156986,-298.6252951, , 
0.019972,0.001974, ,-0.028418,0.006041, ,476.4625717,-298.2778849, , 
0.024128,0.002201, ,-0.02026,0.005913, ,474.8824592,-298.0876757, , 
0.028661,0.002323, ,-0.013637,0.005543, ,473.2923417,-298.0206898, , 
0.033312,0.002349, ,-0.008548,0.00498, ,471.7008676,-298.0333942, , 
0.037719,0.002292, ,-0.004944,0.00429, ,470.1101245,-298.0830571, , 
0.041486,0.002165, ,-0.002692,0.003547, ,468.5194741,-298.1355476, , 
0.04428,0.001982, ,-0.001549,0.002819, ,466.9282657,-298.1669192, , 
0.045947,0.001754, ,-0.001185,0.002168, ,465.3367647,-298.1593017, , 
0.046562,0.001494, ,-0.001245,0.00164, ,463.7465233,-298.0955586, , 
0.046416,0.001212, ,-0.001438,0.001272, ,462.160985,-297.9577758, , 
0.045905,0.000916, ,-0.001604,0.001088, ,460.5857218,-297.7309437, , 
0.045406,0.000616, ,-0.001739,0.001105, ,459.0273483,-297.4078394, , 
0.045163,0.000318, ,-0.001943,0.001328, ,457.4919646,-296.9888612, , 
0.045239,0.000029, ,-0.00232,0.001752, ,455.9859869,-296.4740847, , 
