1,,2,,3,,4,
262.695101,-264.6241679,336.3013112,-399.0168363,470.063991,-345.7093612,349.5671828,-203.1393938
261.4819383,-263.5633162,337.7896539,-399.3236542,471.5308707,-345.0919411,348.2036612,-202.3138726
260.4738873,-262.3059504,339.2793154,-399.6238897,473.0123491,-344.5104096,346.9042966,-201.3906846
259.7030233,-260.8907288,340.7755588,-399.8894224,474.49541,-343.9329635,345.6338164,-200.42817
259.1870522,-259.3640229,342.2777536,-400.118991,475.9702854,-343.3349217,344.3653607,-199.4629902
258.9173807,-257.7751943,343.7826482,-400.3300866,477.4336251,-342.7091653,343.0869928,-198.5109704
258.8500689,-256.1650151,345.28785,-400.5389509,478.8878596,-342.0625338,341.7969237,-197.5748677
258.9059218,-254.5543644,346.7939094,-400.7416498,480.336658,-341.4038163,340.4957242,-196.6542998
258.9795918,-252.9444272,348.3045232,-400.9070855,481.780088,-340.7334112,339.1823359,-195.7512093
258.9536071,-251.3330462,349.8222145,-400.983847,483.2130043,-340.0408196,337.8553294,-194.8682525
258.7158667,-249.7391338,351.3402707,-400.9150084,484.6262328,-339.3088953,336.5160186,-194.0040685
258.1818427,-248.218687,352.8371093,-400.6529051,486.0080311,-338.5192338,335.1688735,-193.1521497
257.3177567,-246.8584578,354.2774452,-400.1684881,487.3442442,-337.6546707,333.8178139,-192.3064547
256.1519698,-245.7458629,355.6188109,-399.4543727,488.6175163,-336.6998392,332.461068,-191.4699027
254.7617055,-244.930824,356.8201929,-398.5238381,489.8074481,-335.6429721,331.0893082,-190.658206
253.2382484,-244.4050926,357.8512817,-397.4075613,490.8932202,-334.4793562,329.6901346,-189.8947601
251.6530529,-244.11445,358.7010769,-396.1477604,491.8574209,-333.2131639,328.2561881,-189.1988264
250.045941,-243.9943944,359.3827659,-394.7896013,492.6871668,-331.8550503,326.7897854,-188.5741422
248.4343868,-244.0043678,359.9314575,-393.3724717,493.3701091,-330.417501,325.3005662,-188.0059747
246.828645,-244.1414477,360.3944282,-391.9250744,493.8885892,-328.9128038,323.799615,-187.4695858
245.2432133,-244.4304569,360.817691,-390.4655818,494.2192752,-327.3560391,322.2946495,-186.9445738
243.7017959,-244.9006764,361.2344932,-389.0042346,494.3429316,-325.7693695,320.7876456,-186.4254293
242.2336816,-245.565327,361.6600342,-387.5454051,494.2604412,-324.1800142,319.2751352,-185.9225539
240.8648848,-246.4159615,362.0936798,-386.0889627,494.0035434,-322.6093507,317.7513137,-185.4550883
239.613357,-247.4312841,362.5267954,-384.6323648,493.6303234,-321.062183,316.2121587,-185.0409028
238.4925036,-248.5892433,362.9521325,-383.1734767,493.2063047,-319.5281883,314.6576362,-184.6887457
237.5167487,-249.8718333,363.3703095,-381.7125181,492.7811108,-317.9945341,313.0909979,-184.3951283
236.7002946,-251.2612562,363.7907383,-380.2522059,492.3716282,-316.4565918,311.516642,-184.1461784
236.0475413,-252.7346995,364.2279168,-378.7968214,491.9593661,-314.9193819,309.9383824,-183.9233237
235.5431514,-254.2653163,364.6972047,-377.3514701,491.5036792,-313.3944995,308.3586654,-183.7110613
235.152569,-255.8288571,365.2142773,-375.9225129,490.9637217,-311.8973979,306.7781969,-183.5044533
234.8359101,-257.409016,365.7988912,-374.5198267,490.3166522,-310.4433723,305.1957808,-183.313301
234.5663283,-258.9978819,366.4790821,-373.1609086,489.5629997,-309.0416082,303.6092349,-183.1601963
234.3398175,-260.5934597,367.2900411,-371.8757461,488.7193613,-307.6920812,302.017792,-183.0716438
234.1699503,-262.1960473,368.2645606,-370.7097513,487.8057228,-306.3889291,300.4239063,-183.0647247
234.071627,-263.8046047,369.4180777,-369.7205281,486.8350428,-305.1276923,298.8315364,-183.1349009
234.0447584,-265.4159525,370.7368983,-368.9656472,485.8088432,-303.9111995,297.2418833,-183.2516258
234.0681306,-267.0273642,372.178261,-368.4843729,484.7187998,-302.7515693,295.6520853,-183.3661824
234.1062837,-268.6384869,373.6843403,-368.282028,483.5521251,-301.6690728,294.0595522,-183.4317869
234.1237716,-270.2499578,375.2033562,-368.3256218,482.2978434,-300.6894324,292.4656605,-183.4311825
234.0981449,-271.8613203,376.7058827,-368.5531626,480.951783,-299.8402996,290.8719465,-183.4014958
234.0262806,-273.4712885,378.1873462,-368.891678,479.5193589,-299.1467223,289.2784274,-183.4421236
233.9240672,-275.0796201,379.6575886,-369.2759332,478.0156986,-298.6252951,287.7044351,-183.6931783
233.8224232,-276.6879909,381.1273743,-369.6619121,476.4625717,-298.2778849,286.2231148,-184.2810668
233.7617762,-278.2984259,382.6012291,-370.0320797,474.8824592,-298.0876757,284.9587192,-185.2511447
233.7848513,-279.9098266,384.0777935,-370.3912945,473.2923417,-298.0206898,284.0185427,-186.5380816
