0,,1,,2,,3,,4,
280.6126655,-256.6762094,315.2567386,-396.322541,429.3487708,-363.2602441,334.2493302,-242.9317929,448.9887882,-352.2392848
279.4977118,-257.839811,316.7392141,-396.6565198,429.658666,-364.7842281,332.6979061,-243.1633036,450.5670386,-352.0342006
278.5896204,-259.1713405,318.228152,-396.9603991,430.010345,-366.2991348,331.146264,-243.3933425,452.143935,-351.8189784
277.7804589,-260.5651778,319.719196,-397.2537448,430.4182788,-367.7998874,329.5936021,-243.6163971,453.7201255,-351.5986286
276.9307674,-261.9345003,321.2101995,-397.5473002,430.8755938,-369.2863324,328.040027,-243.8330034,455.2942756,-351.3641271
275.934312,-263.2009777,322.7024655,-397.8344123,431.3813632,-370.757005,326.4862487,-244.0481457,456.8627772,-351.0944405
274.75169,-264.2957106,324.2002761,-398.0910131,431.9580365,-372.2013638,324.9331454,-244.2681065,458.4198141,-350.7649658
273.4007513,-265.1744348,325.7072848,-398.2863298,432.6508321,-373.5937445,323.3814349,-244.4976857,459.9577791,-350.3556001
271.9250328,-265.8221224,327.2225969,-398.400533,433.5109498,-374.8894315,321.8314865,-244.7388761,461.468441,-349.8547893
270.3682569,-266.2388634,328.741706,-398.4405379,434.5728341,-376.0256349,320.2832708,-244.9909496,462.9451374,-349.2612672
268.7671138,-266.4219603,330.2613536,-398.4440328,435.8374718,-376.9307482,318.7364171,-245.2512505,464.3864631,-348.5863618
267.1567484,-266.3598574,331.7808012,-398.4672137,437.2682815,-377.5401032,317.1903248,-245.5160367,465.8004893,-347.855957
265.5773604,-266.0394729,333.2974926,-398.5611569,438.7994021,-377.8124958,315.6442897,-245.7811564,467.2053022,-347.1079877
264.0746446,-265.4572512,334.8054541,-398.7489996,440.3529682,-377.7418822,314.0976426,-246.0426821,468.6220466,-346.3829172
262.695101,-264.6241679,336.3013112,-399.0168363,441.8605202,-377.3599044,312.5498893,-246.2975788,470.063991,-345.7093612
261.4819383,-263.5633162,337.7896539,-399.3236542,443.281293,-376.7273674,311.0007993,-246.5442217,471.5308707,-345.0919411
260.4738873,-262.3059504,339.2793154,-399.6238897,444.6092557,-375.9178952,309.4503908,-246.7824368,473.0123491,-344.5104096
259.7030233,-260.8907288,340.7755588,-399.8894224,445.8656709,-375.0013153,307.8988137,-247.0129179,474.49541,-343.9329635
259.1870522,-259.3640229,342.2777536,-400.118991,447.0825442,-374.0328783,306.3461913,-247.2362491,475.9702854,-343.3349217
258.9173807,-257.7751943,343.7826482,-400.3300866,448.2870104,-373.0490613,304.7925084,-247.4520789,477.4336251,-342.7091653
258.8500689,-256.1650151,345.28785,-400.5389509,449.4936892,-372.0679556,303.237618,-247.659029,478.8878596,-342.0625338
258.9059218,-254.5543644,346.7939094,-400.7416498,450.70558,-371.0932929,301.6813832,-247.8556139,480.336658,-341.4038163
258.9795918,-252.9444272,348.3045232,-400.9070855,451.9199027,-370.1216638,300.123883,-248.041908,481.780088,-340.7334112
258.9536071,-251.3330462,349.8222145,-400.983847,453.1346296,-369.1505391,298.5655698,-248.2212778,483.2130043,-340.0408196
258.7158667,-249.7391338,351.3402707,-400.9150084,454.3520761,-368.1828243,297.0073725,-248.4016563,484.6262328,-339.3088953
258.1818427,-248.218687,352.8371093,-400.6529051,455.5768376,-367.2243929,295.4509358,-248.5966569,486.0080311,-338.5192338
257.3177567,-246.8584578,354.2774452,-400.1684881,456.8079636,-366.2741471,293.8994011,-248.8274699,487.3442442,-337.6546707
256.1519698,-245.7458629,355.6188109,-399.4543727,458.0289173,-365.3108117,292.3593835,-249.1256408,488.6175163,-336.6998392
254.7617055,-244.930824,356.8201929,-398.5238381,459.1992661,-364.2865498,290.8448816,-249.5341098,489.8074481,-335.6429721
253.2382484,-244.4050926,357.8512817,-397.4075613,460.2499481,-363.1399347,289.3824733,-250.1014232,490.8932202,-334.4793562
251.6530529,-244.11445,358.7010769,-396.1477604,461.0881689,-361.8300784,288.0128853,-250.865994,491.8574209,-333.2131639
250.045941,-243.9943944,359.3827659,-394.7896013,461.6239289,-360.3702372,286.7802994,-251.8360563,492.6871668,-331.8550503
248.4343868,-244.0043678,359.9314575,-393.3724717,461.815395,-358.8269598,285.7072277,-252.9801664,493.3701091,-330.417501
246.828645,-244.1414477,360.3944282,-391.9250744,461.7014047,-357.2758762,284.7705971,-254.2385137,493.8885892,-328.9128038
245.2432133,-244.4304569,360.817691,-390.4655818,461.3900029,-355.7520523,283.903553,-255.5457499,494.2192752,-327.3560391
243.7017959,-244.9006764,361.2344932,-389.0042346,461.0105363,-354.2438662,283.0284455,-256.847512,494.3429316,-325.7693695
242.2336816,-245.565327,361.6600342,-387.5454051,460.6633464,-352.727972,282.0962008,-258.1089999,494.2604412,-324.1800142
240.8648848,-246.4159615,362.0936798,-386.0889627,460.390819,-351.1968327,281.1019115,-259.3222451,494.0035434,-322.6093507
239.613357,-247.4312841,362.5267954,-384.6323648,460.1783084,-349.6561971,280.0708443,-260.5043799,493.6303234,-321.062183
238.4925036,-248.5892433,362.9521325,-383.1734767,459.9814478,-348.1135129,279.0314411,-261.6791639,493.2063047,-319.5281883
237.5167487,-249.8718333,363.3703095,-381.7125181,459.7605263,-346.5740948,277.9931155,-262.8549309,492.7811108,-317.9945341
236.7002946,-251.2612562,363.7907383,-380.2522059,459.4995659,-345.0409435,276.9405945,-264.0180034,492.3716282,-316.4565918
236.0475413,-252.7346995,364.2279168,-378.7968214,459.2027568,-343.5143276,275.8501061,-265.1454909,491.9593661,-314.9193819
235.5431514,-254.2653163,364.6972047,-377.3514701,458.8785198,-341.9933024,274.7174778,-266.2306771,491.5036792,-313.3944995
235.152569,-255.8288571,365.2142773,-375.9225129,458.5272234,-340.4782981,273.5782151,-267.3090736,490.9637217,-311.8973979
234.8359101,-257.409016,365.7988912,-374.5198267,458.1411211,-338.9717924,272.5138764,-268.461489,490.3166522,-310.4433723
234.5663283,-258.9978819,366.4790821,-373.1609086,457.7130225,-337.4766781,271.6525607,-269.7723991,489.5629997,-309.0416082
234.3398175,-260.5934597,367.2900411,-371.8757461,457.2436619,-335.9939951,271.1523036,-271.2588842,488.7193613,-307.6920812
234.1699503,-262.1960473,368.2645606,-370.7097513,456.7410478,-334.5222519,271.1454114,-272.8272168,487.8057228,-306.3889291
234.071627,-263.8046047,369.4180777,-369.7205281,456.2134759,-333.0592708,271.6658212,-274.3067579,486.8350428,-305.1276923
234.0447584,-265.4159525,370.7368983,-368.9656472,455.6629805,-331.6047599,272.6235494,-275.54901,485.8088432,-303.9111995
234.0681306,-267.0273642,372.178261,-368.4843729,455.0843939,-330.1611948,273.8578934,-276.5172518,484.7187998,-302.7515693
234.1062837,-268.6384869,373.6843403,-368.282028,454.4697373,-328.7326166,275.220791,-277.2940686,483.5521251,-301.6690728
234.1237716,-270.2499578,375.2033562,-368.3256218,453.813493,-327.3226574,276.6167737,-278.0093297,482.2978434,-300.6894324
234.0981449,-271.8613203,376.7058827,-368.5531626,453.1146661,-325.93331,277.9945592,-278.7590563,480.951783,-299.8402996
234.0262806,-273.4712885,378.1873462,-368.891678,452.3752949,-324.5651085,279.3351045,-279.5736121,479.5193589,-299.1467223
233.9240672,-275.0796201,379.6575886,-369.2759332,451.5981918,-323.2179808,280.6459288,-280.4351768,478.0156986,-298.6252951
233.8224232,-276.6879909,381.1273743,-369.6619121,450.7866286,-321.8913288,281.9466945,-281.3118197,476.4625717,-298.2778849
233.7617762,-278.2984259,382.6012291,-370.0320797,449.946171,-320.5827898,283.2513564,-282.1826621,474.8824592,-298.0876757
233.7848513,-279.9098266,384.0777935,-370.3912945,449.0864101,-319.2868497,284.5611626,-283.0457555,473.2923417,-298.0206898
233.9274236,-281.5150641,385.5531702,-370.7553384,448.2198933,-317.9954186,285.8692807,-283.9113978,471.7008676,-298.0333942
234.2093605,-283.1017702,387.0238388,-371.1379551,447.3571184,-316.7014886,287.1685034,-284.7903337,470.1101245,-298.0830571
234.6307707,-284.6572691,388.488487,-371.5430182,446.4987249,-315.4046435,288.4558977,-285.6865086,468.5194741,-298.1355476
235.1764783,-286.1736429,389.948482,-371.9645472,445.6280678,-314.1159828,289.7333286,-286.5968295,466.9282657,-298.1669192
235.8266948,-287.6482283,391.4067394,-372.3920445,444.7086764,-312.8616102,291.0058587,-287.5139893,465.3367647,-298.1593017
236.567594,-289.0793979,392.8659784,-372.8161784,443.6906067,-311.6859169,292.2799718,-288.4289486,463.7465233,-298.0955586
237.3960088,-290.4617502,394.3277837,-373.2313818,442.5266635,-310.6544686,293.5608917,-289.3343467,462.160985,-297.9577758
238.3165362,-291.7845421,395.7927081,-373.6354424,441.194664,-309.8517733,294.8468442,-290.2325854,460.5857218,-297.7309437
239.3339747,-293.0343239,397.2606002,-374.0285844,439.7169311,-309.3672833,296.1201892,-291.1486782,459.0273483,-297.4078394
240.4464947,-294.2002752,398.7305412,-374.413997,438.1649783,-309.2683896,297.3369764,-292.1387389,457.4919646,-296.9888612
241.6436768,-295.2791264,400.2005609,-374.7991129,436.6394676,-309.5703195,298.4159187,-293.2773894,455.9859869,-296.4740847
242.9097719,-296.2762135,401.6677126,-375.1950097,435.2271727,-310.2214432,299.2347252,-294.6152165,454.5211809,-295.8517161
244.2295247,-297.2011091,403.1289172,-375.6123136,433.9554874,-311.1168316,299.6544663,-296.1264121,453.1226412,-295.0920476
245.5934064,-298.0596002,404.58254,-376.0553108,432.7759476,-312.1305883,299.5793524,-297.6929956,451.8362579,-294.1549547
246.9999412,-298.8462682,406.0298416,-376.5185533,431.5933668,-313.1406343,299.0153704,-299.1565576,450.7299399,-293.0109016
248.4535634,-299.5420779,407.4746715,-376.9894419,430.3214222,-314.0354005,298.0738504,-300.4112408,449.8821088,-291.6640864
249.9581534,-300.1194236,408.9207583,-377.4564478,428.9244472,-314.718718,296.9136478,-301.4672076,449.3580474,-290.1613858
251.510075,-300.5537432,410.3684769,-377.9183865,427.4225878,-315.1224276,295.6792705,-302.4352476,449.1861412,-288.5792114
253.0966409,-300.8364881,411.8137582,-378.3879005,425.8701246,-315.214666,294.4862511,-303.4536226,449.3484453,-286.995993
254.701706,-300.9812604,413.2501724,-378.883835,424.3306075,-314.994306,293.4374215,-304.6199571,449.7900277,-285.4669395
256.3128746,-301.017768,414.6746115,-379.4131771,422.8635535,-314.4781752,292.6298991,-305.9646911,450.4399413,-284.0141381
257.9239275,-300.9767398,416.0960865,-379.9505832,421.5210857,-313.693088,292.1458687,-307.456691,451.2330769,-282.6343124
259.5323353,-300.8757608,417.5394977,-380.4260989,420.3444665,-312.6761717,292.0359823,-309.0213603,452.1259611,-281.3168466
261.1358844,-300.7151631,419.0287095,-380.7287123,419.3548747,-311.4764603,292.3017843,-310.5672109,453.1038652,-280.0611863
262.7310601,-300.485923,420.5482127,-380.7321279,418.5434748,-310.1496876,292.8893933,-312.0216108,454.1771128,-278.8859849
264.3139745,-300.183391,422.0173693,-380.3445347,417.8714436,-308.7471525,293.7072721,-313.3602067,455.3653434,-277.8272374
265.8833845,-299.8171563,423.3185195,-379.5598589,417.2844672,-307.306967,294.662797,-314.6042255,456.6758873,-276.9243441
267.4429228,-299.4109284,424.3739646,-378.4665755,416.7343597,-305.8523146,295.6973428,-315.7833123,458.0909788,-276.1961026
268.9995985,-298.9938884,425.2123947,-377.1989152,416.1953208,-304.3935202,296.8051258,-316.8939799,459.5738121,-275.6179678
270.5598097,-298.5902841,425.9654195,-375.8788278,415.6675044,-302.9306223,298.0251499,-317.8800019,461.0845928,-275.1173053
272.1268257,-298.2139549,426.7958171,-374.60625,415.1689078,-301.4575157,299.3982016,-318.6382535,462.5872808,-274.5929982
273.7013252,-297.870272,427.8161604,-373.4802695,414.7207221,-299.968309,300.9109761,-319.0523011,464.0424307,-273.9485166
275.2832692,-297.5626669,429.0518111,-372.5958481,414.3305644,-298.4628583,302.4794207,-319.0502333,465.40143,-273.120317
276.8729563,-297.2979791,430.4560994,-372.0152072,413.9766064,-296.9484567,303.9961367,-318.6501715,466.613716,-272.0891999
278.4705755,-297.086397,431.9521153,-371.7483303,413.5969199,-295.4402413,305.4012206,-317.9525759,467.6409321,-270.8735823
280.0751491,-296.9364166,433.4717384,-371.7581612,413.0920764,-293.9691817,306.7100988,-317.087942,468.4660224,-269.5126394
281.6843625,-296.8492729,434.9747213,-371.9826407,412.3509132,-292.6019817,307.9792439,-316.1661466,469.0922669,-268.0495018
283.2956278,-296.8177455,436.4471012,-372.3586792,411.3008388,-291.455035,309.2544111,-315.2526884,469.5353856,-266.5209097
284.9071482,-296.8307894,437.8892699,-372.8376654,409.9591217,-290.6690848,310.5485546,-314.3662665,469.8149272,-264.9541325
286.5179451,-296.8807899,439.305288,-373.3891701,408.4393019,-290.3400899,311.8511641,-313.4923497,469.9496894,-263.368333
288.127151,-296.9680909,440.6990434,-373.9947325,406.8884457,-290.4565875,313.1465505,-312.6077823,469.9584332,-261.7768432
289.7333544,-297.0994964,442.0761454,-374.6372781,405.3983424,-290.9024784,314.4273069,-311.702145,469.8637316,-260.1881458
291.3345489,-297.2820606,443.4468451,-375.2933823,403.9715685,-291.5214767,315.6991616,-310.7840395,469.6949128,-258.6056018
292.928884,-297.5171317,444.8251793,-375.9332763,402.5645248,-292.1838426,316.9765423,-309.8736512,469.4866491,-257.0277652
294.5155399,-297.7994294,446.2234877,-376.5282333,401.1432167,-292.8151304,318.2730513,-308.9907239,469.2724941,-255.4507242
296.094497,-298.1220169,447.6468751,-377.0604162,399.6961365,-293.3849054,319.5944544,-308.1455017,469.0759326,-253.8713964
